Age,Deductible,DriverRating,DaysDiff,Make,AccidentArea,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,PastNumberOfClaims,Days:Policy-Claim,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,FraudFound
52,400,1,0.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
28,400,1,0.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
17,400,3,5.0,6.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
61,400,1,10.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
38,400,1,6.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
41,400,4,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
28,400,1,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
32,400,1,4.0,13.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
30,400,2,8.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
40,400,1,18.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
47,400,2,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0
63,400,3,11.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0
31,400,3,0.0,13.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0
45,400,3,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,6.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0
60,400,4,15.0,13.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
21,400,2,98.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
42,400,3,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
17,400,1,80.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1
39,400,3,9.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
47,400,1,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0
17,400,1,2.0,6.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
42,400,3,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
30,400,4,1.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
42,400,1,1.0,5.0,1.0,1.0,1.0,0.0,6.0,2.0,3.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
34,400,3,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
30,400,4,9.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
27,400,2,7.0,9.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
55,400,1,2.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
35,400,3,33.0,17.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
35,400,1,7.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
44,400,1,5.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0
42,400,4,0.0,17.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0
41,400,2,6.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
72,400,1,7.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
29,400,3,1.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
32,400,4,4.0,13.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0
37,400,3,1.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
37,400,1,14.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0
59,400,4,0.0,13.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
49,400,2,0.0,13.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
27,500,3,2.0,13.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0
21,400,4,185.0,6.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
50,400,1,18.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
45,400,1,0.0,13.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
49,400,4,2.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
30,400,4,6.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
37,400,3,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
17,400,4,23.0,6.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
27,400,4,5.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
30,400,4,14.0,17.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
49,400,4,136.0,13.0,1.0,1.0,1.0,0.0,7.0,2.0,1.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
17,400,2,47.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
26,400,3,1.0,17.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0
48,400,1,4.0,13.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
31,400,3,10.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
40,400,2,0.0,11.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
65,400,1,4.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
64,400,1,0.0,17.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
55,400,2,0.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
44,400,1,0.0,6.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
27,400,3,2.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
28,400,3,123.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
47,400,2,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
60,400,3,0.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
33,400,4,18.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
27,400,3,69.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
47,400,3,4.0,6.0,1.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
29,400,1,4.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0
33,400,1,6.0,17.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
38,400,4,0.0,13.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
37,400,2,8.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
36,400,4,125.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0
44,400,4,66.0,17.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0
17,400,2,26.0,6.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0
27,400,4,84.0,2.0,0.0,1.0,1.0,0.0,8.0,2.0,3.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
27,400,3,1.0,17.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
39,400,2,0.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0
74,400,4,0.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
23,400,2,0.0,6.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
25,400,1,0.0,6.0,1.0,0.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
38,400,2,0.0,13.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
41,400,1,11.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
38,700,3,2.0,13.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
34,400,3,64.0,6.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
61,400,4,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
38,400,2,46.0,17.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1
40,400,4,4.0,17.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
41,400,4,65.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
36,400,1,3.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
31,400,1,50.0,2.0,1.0,1.0,1.0,0.0,6.0,2.0,3.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1
35,400,4,0.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
37,500,2,10.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0
55,400,3,5.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0
31,400,4,2.0,13.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
28,400,1,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0
28,400,2,3.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
44,400,1,130.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
47,400,1,140.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
40,400,4,1.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
23,400,2,122.0,17.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
31,400,3,3.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
35,400,1,35.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
56,400,2,40.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,3.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1
50,400,3,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
16,400,1,29.0,6.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
32,400,2,0.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0
28,400,3,22.0,13.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0
68,400,3,2.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1
17,400,3,14.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1
17,400,3,42.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
18,400,4,5.0,6.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
30,400,1,0.0,13.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
51,400,4,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0
22,400,3,0.0,17.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
26,400,4,0.0,13.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
53,400,2,37.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0
38,400,3,2.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0
27,400,3,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,0
29,400,3,1.0,6.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
32,400,1,0.0,13.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
18,400,3,1.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
60,400,4,7.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
53,400,3,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
29,400,4,10.0,6.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
29,400,2,0.0,13.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
41,400,4,15.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
29,400,4,9.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0
42,400,2,8.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
34,400,2,98.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
51,400,4,1.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
32,400,4,8.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
52,400,4,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,0
61,400,2,1.0,17.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
25,400,4,9.0,17.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0
41,400,1,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
33,400,1,0.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
39,400,3,169.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1
30,400,1,9.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
50,400,4,0.0,9.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
31,400,1,4.0,13.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0
23,400,4,0.0,13.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0
31,400,3,3.0,13.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0
50,500,3,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0
33,400,3,0.0,6.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0
