Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,Year,BasePolicy,FraudFound
3,4,1,17,1,6,8,0,1,1,11,0,2,1,0,63,12,1,2,3,2,1,5,4,0,0,0,2,2,1,0,2,0
2,0,0,13,1,6,3,1,1,2,33,0,1,0,0,64,0,1,0,3,2,3,5,6,0,0,0,3,3,0,0,1,0
2,3,0,9,1,2,5,1,1,2,16,0,0,0,0,65,5,1,2,3,2,3,5,4,0,0,0,3,3,0,0,0,0
7,2,0,11,1,1,8,2,1,2,25,1,1,0,5,66,15,1,1,3,2,0,5,5,0,0,0,2,3,0,0,1,0
1,3,4,9,1,2,2,4,1,1,50,0,2,1,1,67,11,1,0,3,2,1,6,7,0,0,0,2,3,0,0,2,0
4,0,3,17,1,6,5,0,1,1,49,0,1,0,0,68,4,1,0,3,2,0,6,7,0,0,0,3,3,0,0,1,0
4,0,3,6,1,7,5,0,1,1,40,0,2,1,0,69,11,1,1,3,2,1,5,6,0,0,0,2,3,0,0,2,0
4,0,3,6,1,7,5,0,1,2,29,0,1,0,0,70,15,1,0,3,2,1,5,5,0,0,0,1,3,0,0,1,0
4,0,5,9,1,5,5,0,1,1,12,0,1,0,0,71,8,1,2,3,2,0,4,4,0,0,0,0,3,0,0,1,0
11,3,4,2,1,2,5,4,0,2,13,1,1,0,0,72,4,1,2,1,2,0,3,4,0,0,0,3,3,0,0,1,0
4,0,1,6,1,6,5,0,1,1,32,1,1,0,0,73,6,1,1,3,2,0,6,6,0,0,0,2,3,0,0,1,0
0,4,2,9,1,6,9,0,1,1,45,1,1,0,5,74,11,1,2,3,2,2,5,7,0,0,0,2,3,0,0,1,0
1,0,2,5,1,7,2,3,1,1,18,1,1,0,1,75,8,1,3,3,2,2,4,4,0,0,0,3,3,0,0,1,0
10,3,5,2,1,2,5,0,1,1,12,1,0,0,0,76,0,1,2,3,2,3,4,4,0,0,0,3,3,0,0,0,0
3,1,0,6,1,6,4,2,0,1,32,1,4,1,5,77,11,1,2,3,2,3,6,6,0,0,0,3,3,0,0,1,0
3,1,0,7,0,6,4,2,0,2,14,0,2,1,1,78,15,1,0,3,2,1,3,4,0,0,0,1,3,0,0,2,0
3,3,2,17,1,1,8,0,0,1,18,1,1,0,1,79,9,1,0,3,2,1,5,4,0,0,0,2,3,0,0,1,0
4,2,6,13,1,7,5,2,1,1,23,0,2,1,0,80,12,1,3,3,2,1,4,5,0,0,0,3,3,0,0,2,0
4,2,4,9,1,1,5,3,1,2,22,1,2,1,0,81,5,1,1,3,2,0,5,5,0,0,0,3,3,0,0,2,0
2,1,0,2,1,5,1,2,1,1,21,1,0,0,5,82,12,1,3,3,2,3,5,5,0,0,0,3,3,2,0,0,0
9,4,5,17,1,1,4,0,0,1,29,0,2,1,0,83,8,1,3,3,2,3,4,5,0,0,0,0,3,0,0,2,0
2,0,6,6,1,2,5,0,1,2,0,0,2,1,5,84,5,1,1,3,2,2,7,0,0,0,0,3,2,1,0,2,0
2,1,5,2,0,6,8,0,1,1,12,0,8,2,5,85,3,1,3,3,2,0,4,4,0,0,0,2,3,0,0,2,0
8,3,5,17,1,7,9,3,1,2,12,0,1,0,0,86,13,1,2,3,2,0,4,4,0,0,0,2,3,0,0,1,0
8,3,3,9,1,7,9,3,1,2,24,1,0,0,0,87,0,1,1,3,2,1,2,5,0,0,0,2,3,0,0,0,0
10,4,2,13,1,2,11,4,1,1,59,1,0,0,1,88,12,1,3,3,2,3,5,8,0,0,0,1,3,0,0,0,0
10,3,3,6,1,2,11,3,1,2,8,0,2,1,0,89,7,1,1,3,2,1,2,3,0,0,0,3,3,0,0,2,0
10,3,3,6,1,6,11,3,0,2,10,1,4,1,5,90,1,1,0,3,2,3,4,3,0,0,0,2,3,0,0,1,0
4,1,6,13,1,7,5,1,1,2,23,0,2,1,0,91,12,1,1,3,2,2,5,5,0,0,0,1,0,0,0,2,0
4,1,4,6,1,2,5,3,1,1,26,0,0,0,1,92,15,1,0,3,2,1,5,5,0,0,0,3,3,0,0,0,0
1,3,2,13,1,2,2,4,1,1,23,0,1,0,0,93,12,3,2,3,2,1,5,5,0,0,0,2,3,0,0,1,0
9,1,4,6,1,1,5,2,1,2,19,0,4,1,5,94,6,1,2,3,2,3,5,4,0,0,0,1,3,0,0,1,1
8,1,5,6,1,5,9,1,1,1,46,1,1,0,1,95,14,1,3,3,2,3,6,7,0,0,0,2,3,0,0,1,0
9,1,0,17,1,6,5,0,1,1,23,0,1,0,0,96,6,1,1,3,2,0,5,5,0,0,0,3,3,0,0,1,1
4,2,4,17,1,2,5,3,1,2,25,0,0,0,4,97,3,1,3,3,2,0,5,5,0,0,0,3,3,0,0,0,0
9,2,1,13,1,7,5,3,1,1,26,1,0,0,0,98,11,1,3,3,2,1,5,5,0,0,0,3,3,0,0,0,0
4,3,0,13,1,2,5,4,1,1,21,0,0,0,0,99,9,1,0,3,2,0,5,5,0,0,0,3,3,0,0,0,0
9,2,5,2,1,7,5,1,1,1,16,0,6,2,5,100,1,1,0,3,2,2,5,4,0,0,0,2,3,0,0,0,1
4,4,2,13,1,2,5,4,0,1,20,1,0,0,0,101,9,1,3,3,2,0,4,4,0,0,0,3,3,0,0,0,0
4,3,0,5,1,2,4,0,0,1,22,0,0,0,5,102,13,2,1,3,2,1,4,5,1,0,0,1,3,0,0,0,0
4,0,4,9,1,6,5,1,1,1,40,0,0,0,0,103,13,1,2,3,2,3,6,6,0,0,0,2,3,0,0,0,0
4,0,5,13,1,5,5,0,1,2,16,1,0,0,0,104,11,1,3,3,2,1,5,4,0,0,0,0,3,0,0,0,0
2,2,0,3,1,3,3,2,1,1,13,0,2,1,5,105,4,1,0,3,2,3,5,4,0,0,0,0,2,1,0,2,0
1,0,1,9,1,5,2,0,1,1,13,0,1,0,0,106,10,1,1,3,2,1,5,4,0,0,0,3,3,0,0,1,0
9,3,3,13,1,5,1,1,1,1,29,1,0,0,0,107,10,1,0,3,2,3,5,5,0,0,0,3,3,0,0,0,0
6,0,4,2,1,5,11,3,1,1,32,0,0,0,0,108,0,1,0,3,2,0,6,6,0,0,0,3,3,0,0,0,0
7,0,4,6,1,1,8,0,1,1,25,0,2,1,0,109,15,1,3,3,2,3,4,5,0,0,0,3,3,0,0,2,0
8,1,5,17,1,1,12,0,1,2,8,0,1,0,0,110,3,1,1,3,2,1,3,3,0,0,0,3,3,0,0,1,0
8,1,1,13,1,5,9,1,1,2,16,0,0,0,0,111,5,1,2,3,2,1,4,4,0,0,0,3,3,0,0,0,0
9,3,4,6,1,5,3,4,1,1,20,1,0,0,0,112,8,1,0,3,2,3,4,4,0,0,0,3,3,0,0,0,0
9,3,4,0,0,6,5,1,1,1,41,0,6,2,5,113,9,1,1,3,2,3,6,7,0,0,0,3,3,0,0,0,1
2,3,1,2,1,7,5,0,1,1,35,1,1,0,0,114,1,1,2,3,2,0,6,6,0,0,0,2,3,0,0,1,0
2,1,5,6,1,7,5,1,1,2,1,1,4,1,5,115,1,1,0,3,2,1,2,1,0,0,0,1,3,0,0,1,0
9,4,5,13,1,6,10,4,1,1,17,1,1,0,1,116,11,1,1,3,2,0,5,4,0,1,0,2,3,0,0,1,0
1,1,1,13,1,6,2,4,1,2,13,0,2,1,0,117,3,1,2,3,2,1,4,4,0,0,0,1,3,0,0,2,0
9,4,1,9,1,7,3,0,1,2,53,0,0,0,0,118,8,1,2,3,2,1,3,8,0,0,0,3,3,0,0,0,1
2,0,0,6,0,1,3,2,1,2,0,0,0,0,5,119,6,1,2,3,2,3,7,0,0,0,0,3,3,0,0,0,1
3,0,0,6,0,1,8,2,1,2,0,0,0,0,5,120,7,1,2,3,2,3,7,0,0,0,0,3,3,0,0,0,0
10,1,6,6,0,2,11,2,0,1,3,1,4,1,5,121,11,1,3,3,2,3,0,2,0,0,0,0,3,0,0,1,0
6,2,1,13,1,2,7,2,1,2,15,0,1,0,5,122,1,1,0,3,2,2,4,4,0,0,0,0,3,0,0,1,0
0,3,5,6,1,6,1,3,1,1,36,0,1,0,0,123,0,1,3,3,2,2,6,6,0,0,0,3,3,2,0,1,0
3,1,3,17,1,2,4,1,1,2,7,1,0,0,1,124,5,1,2,3,2,3,4,3,0,0,0,1,3,0,0,0,0
3,1,2,13,1,2,4,1,0,1,11,0,2,1,0,125,15,1,3,3,2,1,5,4,0,0,0,2,3,0,0,2,0
4,3,2,3,1,2,8,0,1,1,38,0,1,0,1,126,14,1,1,3,2,3,6,6,1,0,0,3,2,1,0,1,0
4,3,3,9,1,6,5,4,1,1,23,0,2,1,1,127,12,1,2,3,2,1,5,5,0,0,0,2,3,0,0,2,0
4,3,3,2,0,2,5,3,1,1,12,1,2,1,1,128,8,1,2,3,2,2,4,4,0,1,0,3,3,0,0,2,0
9,3,1,6,1,6,10,3,1,2,14,0,1,0,0,129,13,1,2,3,2,1,5,4,0,0,0,1,3,0,0,1,0
5,1,0,13,1,1,6,1,1,2,17,0,1,0,0,130,9,1,0,3,2,2,3,4,0,0,0,2,3,0,0,1,0
0,3,4,6,1,1,1,3,1,2,3,1,1,0,0,131,13,1,2,3,2,3,1,2,0,0,0,2,3,0,0,1,0
10,2,4,13,1,5,11,3,1,1,45,1,1,0,0,132,5,1,3,3,2,1,6,7,0,0,0,0,3,0,0,1,0
10,2,0,5,1,1,11,2,1,1,38,0,1,0,5,133,11,1,2,3,2,3,6,6,0,0,0,2,3,0,0,1,0
0,0,5,6,1,1,1,1,1,2,14,0,1,0,0,134,15,1,3,3,2,0,4,4,0,0,0,0,3,0,0,1,0
7,1,3,13,1,2,8,1,1,1,14,0,1,0,0,135,5,1,1,3,2,0,5,4,0,0,0,2,3,0,0,1,0
7,1,1,17,1,6,8,3,1,1,26,1,1,0,0,136,8,1,3,3,2,0,5,5,0,0,0,2,3,0,0,1,0
3,3,1,17,1,7,8,0,1,1,14,0,0,0,0,137,8,1,3,3,2,3,5,4,0,0,0,2,3,0,0,0,0
2,3,6,11,1,5,5,0,1,1,27,0,0,0,0,138,1,1,1,3,2,2,5,5,0,0,0,3,3,0,0,0,0
10,4,0,17,1,1,4,0,1,1,19,0,0,0,4,139,8,1,1,3,2,3,5,4,0,0,0,0,3,0,0,0,0
5,2,1,6,1,6,6,2,1,1,36,0,4,1,5,140,10,1,3,3,2,0,6,6,0,0,0,1,3,0,0,1,0
6,3,1,13,1,6,6,0,1,1,17,0,0,0,0,141,2,1,3,3,2,0,4,4,0,0,0,1,3,0,0,0,0
3,4,1,2,1,1,8,0,1,1,37,0,2,1,0,142,9,1,3,3,2,3,6,6,0,0,1,1,3,3,0,2,0
3,2,4,17,1,1,4,2,1,1,46,0,1,0,0,143,7,1,1,3,2,1,6,7,0,0,0,3,3,0,0,1,0
3,2,6,17,0,1,4,3,1,2,10,1,2,1,0,144,0,1,3,3,2,1,3,3,0,0,0,1,3,0,0,2,0
9,0,4,9,1,1,10,0,1,1,26,0,0,0,1,145,5,1,0,3,2,3,5,5,0,0,0,3,3,0,0,0,0
11,2,2,9,1,6,12,2,1,2,18,1,2,1,1,146,9,1,0,3,2,3,4,4,0,0,0,3,3,0,0,2,0
2,0,1,17,0,6,9,2,1,1,24,0,0,0,1,147,0,1,2,3,2,3,6,5,0,0,0,2,4,1,0,0,1
6,0,5,0,1,5,7,1,1,2,15,0,1,0,1,148,12,1,0,3,2,3,4,4,0,0,0,3,3,0,0,1,0
8,3,1,9,1,2,9,3,1,3,35,0,1,0,0,149,14,1,3,3,2,3,6,6,0,0,0,3,3,0,0,1,0
4,1,1,13,1,1,5,1,0,1,16,1,1,0,0,150,7,1,0,3,2,1,5,4,0,0,0,2,3,0,0,1,0
4,1,5,13,1,6,5,1,1,2,8,0,2,1,1,151,7,1,3,3,2,2,3,3,0,0,0,1,3,0,0,2,0
4,1,5,13,1,1,5,1,1,2,16,1,2,1,1,152,9,1,2,3,2,0,5,4,0,0,0,0,3,0,0,2,0
11,3,5,6,1,2,11,0,1,1,35,1,0,0,0,153,1,2,2,3,2,1,5,6,0,0,0,2,1,0,0,0,0
4,4,2,6,1,2,5,4,0,2,18,1,2,1,0,154,7,1,2,3,2,1,4,4,0,0,0,3,3,0,0,2,0
4,4,3,0,1,6,4,0,1,1,15,0,2,1,1,155,5,1,1,3,2,2,4,4,0,0,0,1,3,0,0,2,0
4,4,1,9,1,5,4,0,1,1,29,0,1,0,2,156,12,1,0,3,2,2,6,5,0,0,0,3,3,0,0,1,0
4,3,6,2,1,6,4,3,1,1,31,0,0,0,5,157,12,1,1,3,2,0,5,6,0,0,0,2,3,0,0,0,0
4,4,2,6,1,7,4,0,1,2,16,0,2,1,0,158,10,1,3,3,2,1,4,4,0,0,0,1,3,0,0,2,0
4,4,0,6,1,1,5,4,1,1,33,0,2,1,0,159,4,1,2,3,2,1,6,6,0,0,0,3,3,0,0,2,0
2,1,0,2,1,1,5,1,1,1,18,0,0,0,5,160,11,1,2,3,2,3,4,4,0,0,0,3,3,0,0,0,1
4,3,5,6,1,7,5,3,1,2,0,0,2,1,5,161,2,1,0,3,2,1,7,0,0,0,0,3,3,0,0,2,0
4,3,0,2,1,7,5,3,0,2,22,1,2,1,5,162,4,1,2,3,2,0,5,5,0,0,0,0,3,0,0,2,0
4,3,0,17,1,5,5,3,1,1,28,1,0,0,4,163,2,1,2,3,2,3,5,5,0,0,0,3,3,0,0,0,0
4,1,6,17,1,2,5,3,0,1,17,1,1,0,1,164,13,1,0,3,2,2,2,4,0,0,0,0,3,2,0,1,0
4,1,4,17,1,5,5,1,1,1,42,0,2,1,0,165,3,1,0,3,2,1,6,7,0,0,0,1,3,0,0,2,0
4,2,0,6,1,2,5,2,1,1,50,1,0,0,0,166,7,1,1,3,2,0,6,7,0,0,0,3,3,0,0,0,0
10,1,2,17,1,2,11,1,0,2,12,0,1,0,0,167,11,1,3,3,2,3,4,4,0,0,0,0,3,0,0,1,0
8,3,0,12,0,7,6,1,1,1,27,0,6,2,5,168,5,1,3,3,2,1,6,5,0,0,0,3,2,1,0,0,0
8,2,4,6,1,2,9,3,1,1,42,0,2,1,0,169,6,1,0,3,2,1,6,7,0,0,0,2,3,0,0,2,0
7,3,0,13,1,7,8,4,1,2,17,0,0,0,0,170,1,1,2,3,2,3,5,4,0,0,0,2,3,0,0,0,0
7,0,2,9,1,2,8,2,1,2,14,0,2,1,0,171,6,1,1,3,2,1,5,4,0,0,0,2,3,0,0,2,0
3,1,1,18,1,6,4,3,1,1,21,0,1,0,1,172,1,1,3,3,2,3,5,5,0,0,0,3,3,0,0,1,0
3,1,1,17,1,2,4,1,1,2,13,0,2,1,1,173,1,1,3,3,2,1,4,4,0,0,0,0,3,0,0,2,0
3,0,1,6,1,6,4,1,0,2,17,0,0,0,4,174,13,1,0,3,2,0,4,4,0,0,0,0,3,0,0,0,0
3,0,3,2,1,5,4,1,1,2,18,0,0,0,0,175,0,1,1,3,2,3,4,4,0,0,0,3,3,0,0,0,0
3,1,5,15,1,7,4,1,1,1,22,0,0,0,1,176,0,1,1,3,2,1,6,5,0,0,0,1,3,0,0,0,0
4,4,5,6,1,7,4,0,0,2,11,0,2,1,0,177,15,1,2,3,2,2,4,4,0,0,0,2,3,0,0,2,0
4,2,3,2,1,7,5,2,1,1,38,0,0,0,0,178,4,1,0,3,2,0,6,6,0,0,0,0,3,0,0,0,0
4,2,2,11,0,6,5,2,1,1,38,1,0,0,0,179,11,1,2,3,2,0,6,6,0,0,0,3,3,0,0,0,0
4,2,1,5,1,6,5,2,1,1,59,0,0,0,4,180,7,1,3,3,2,1,6,8,0,0,0,0,3,0,0,0,0
6,2,5,13,1,5,6,3,1,1,35,0,1,0,0,181,2,1,1,3,2,0,5,6,0,0,0,3,3,0,0,1,0
6,1,4,9,1,1,7,1,1,2,12,1,0,0,0,182,2,1,3,3,2,3,4,4,0,0,0,3,0,0,0,0,0
2,1,3,17,1,6,4,0,1,1,33,1,0,0,0,183,6,1,0,3,2,2,6,6,0,0,0,2,3,0,0,0,0
4,0,3,2,1,6,5,0,0,2,40,1,0,0,0,184,1,1,1,3,2,3,5,6,0,0,0,1,3,0,0,0,0
4,0,3,13,1,7,5,0,1,1,33,0,0,0,0,185,9,1,3,3,2,3,6,6,0,0,0,2,3,0,0,0,0
4,0,1,6,1,7,5,1,1,2,0,1,2,1,5,186,7,1,3,3,2,1,7,0,0,0,0,3,3,0,0,2,0
2,4,4,13,1,1,5,1,1,1,39,1,2,1,0,187,9,1,3,3,2,0,5,6,0,0,0,3,3,0,0,2,0
4,0,2,2,1,2,5,0,1,1,21,0,2,1,1,188,13,1,0,3,2,2,5,5,0,0,0,2,3,0,0,2,0
2,1,1,9,1,2,5,0,1,1,28,0,0,0,1,189,9,1,1,3,2,1,6,5,0,0,0,3,2,1,0,0,1
2,4,0,9,1,6,5,0,1,1,26,0,1,0,1,190,0,1,3,3,2,3,6,5,0,0,0,1,3,0,0,1,0
3,3,5,17,1,7,4,3,1,1,33,0,0,0,0,191,5,1,1,3,2,1,6,6,0,0,0,1,3,0,0,0,0
2,2,5,2,1,2,5,1,1,1,11,0,6,2,5,192,13,1,1,3,2,3,4,4,0,0,0,0,3,0,0,0,1
3,1,3,17,1,2,4,2,0,1,28,0,0,0,0,193,0,1,2,3,2,3,4,5,0,0,0,3,3,0,0,0,0
2,2,4,6,1,2,5,0,1,1,24,0,4,1,5,194,12,1,2,3,2,3,6,5,0,0,0,3,3,0,0,1,1
3,0,0,2,1,7,4,1,1,1,34,1,1,0,1,195,3,1,2,3,2,0,6,6,0,0,0,2,3,0,0,1,0
3,0,2,6,1,2,11,2,1,1,22,1,1,0,1,196,13,1,2,3,2,1,5,5,0,0,0,3,3,0,0,1,0
1,0,6,9,1,5,12,1,1,1,21,1,1,0,0,197,0,1,2,3,2,1,5,5,0,0,0,2,3,0,0,1,0
7,0,3,13,1,1,8,1,0,1,37,0,0,0,0,198,3,1,3,3,2,1,4,6,0,0,0,2,3,0,0,0,0
2,3,2,13,1,2,5,1,1,1,14,1,0,0,4,199,15,1,3,3,2,3,4,4,0,0,0,0,3,0,0,0,0
2,3,0,9,1,2,5,0,1,1,23,1,1,0,0,200,9,1,3,3,2,3,6,5,0,0,0,3,3,0,0,1,0
2,3,1,9,1,6,5,0,1,2,19,0,1,0,0,201,1,1,3,3,2,0,4,4,0,0,0,3,3,0,0,1,0
2,3,1,6,0,1,5,1,1,2,0,0,1,0,5,202,13,1,2,3,2,1,7,0,0,0,0,3,3,0,0,1,0
11,0,1,6,0,6,12,0,1,1,26,0,2,1,1,203,5,1,3,3,2,3,5,5,0,0,0,3,3,0,0,2,0
