Make,AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,daysDiff
Make2,Urban,Male,Married,28,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Make2,Rural,Male,Single,17,Third Party,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,5.0
Make2,Urban,Male,Married,61,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Liability,10.0
Make2,Urban,Male,Single,38,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,6.0
Make2,Urban,Male,Married,41,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,6.0
Make2,Urban,Female,Married,28,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,3.0
Make3,Urban,Male,Single,32,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,4.0
Make2,Urban,Male,Married,30,Third Party,Sport,"more than 69,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,8.0
Make1,Urban,Male,Married,40,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Liability,18.0
Make2,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,none,4 to 8 years,more than 1,Collision,0.0
Make1,Urban,Male,Married,63,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,Liability,11.0
Make3,Urban,Male,Single,31,Third Party,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,0.0
Make1,Urban,Male,Married,45,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,more than 4,more than 7,Yes,No,External,none,no change,1 vehicle,All Perils,0.0
Make3,Urban,Male,Married,60,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,15.0
Make2,Urban,Male,Married,21,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,98.0
Make1,Urban,Male,Married,42,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,5.0
Make2,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,80.0
Make1,Urban,Female,Married,39,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,9.0
Make2,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,Internal,none,no change,1 vehicle,Collision,1.0
Make2,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,2.0
Make2,Urban,Male,Single,42,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0.0
Make2,Urban,Male,Single,30,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,1.0
Make2,Urban,Male,Married,42,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,1.0
Make2,Urban,Male,Single,34,Third Party,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,1.0
Make2,Urban,Male,Married,30,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,9.0
Make1,Urban,Male,Single,27,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,7.0
Make2,Urban,Male,Married,55,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,2.0
Make1,Urban,Male,Married,35,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,33.0
Make2,Urban,Female,Married,35,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,7.0
Make3,Urban,Male,Married,44,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,more than 1,All Perils,5.0
Make1,Urban,Female,Single,42,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,none,4 to 8 years,more than 1,Liability,0.0
Make2,Urban,Male,Married,41,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,6.0
Make1,Urban,Male,Married,72,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,7.0
Make3,Urban,Female,Married,29,Third Party,Sedan,"less than 20,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,1.0
Make3,Urban,Male,Single,32,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,Internal,none,no change,1 vehicle,Collision,4.0
Make1,Urban,Male,Married,37,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,1.0
Make2,Urban,Female,Married,37,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,14.0
Make3,Urban,Male,Married,59,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,0.0
Make3,Urban,Male,Married,49,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,0.0
Make3,Urban,Male,Married,27,Policy Holder,Sport,"20,000 to 39,000",500,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,0 to 3 years,1 vehicle,Liability,2.0
Make2,Rural,Male,Married,21,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,3 to 5,no change,1 vehicle,Collision,185.0
Make2,Urban,Male,Married,50,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,18.0
Make3,Urban,Male,Single,45,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0.0
Make1,Urban,Male,Married,49,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,2.0
Make2,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,6.0
Make1,Urban,Male,Single,37,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,0.0
Make2,Rural,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,Liability,23.0
Make2,Urban,Female,Single,27,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,5.0
Make1,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,14.0
Make3,Urban,Male,Married,49,Policy Holder,Utility,"40,000 to 69,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,136.0
Make2,Urban,Male,Single,17,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,47.0
Make1,Urban,Male,Married,26,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,4 to 8 years,more than 1,Liability,1.0
Make3,Urban,Male,Single,48,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,4.0
Make1,Urban,Male,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,10.0
Make4,Urban,Male,Single,40,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Make1,Urban,Male,Married,65,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,Liability,4.0
Make1,Urban,Male,Married,64,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,Collision,0.0
Make2,Urban,Male,Married,55,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,0.0
Make2,Urban,Male,Single,44,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0.0
Make1,Urban,Male,Married,27,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,2.0
Make2,Urban,Female,Single,28,Third Party,Sedan,"20,000 to 39,000",400,3,15 to 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,123.0
Make2,Urban,Male,Married,47,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,1.0
Make1,Urban,Male,Married,60,Third Party,Sedan,"more than 69,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Make2,Urban,Male,Married,33,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,18.0
Make2,Urban,Male,Married,27,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,69.0
Make2,Urban,Female,Married,47,Third Party,Sport,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,4.0
Make1,Rural,Female,Single,29,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,4.0
Make1,Urban,Female,Married,33,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,6.0
Make3,Urban,Male,Married,38,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Make1,Urban,Male,Single,37,Third Party,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,8.0
Make2,Urban,Male,Married,36,Third Party,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,more than 1,All Perils,125.0
Make1,Urban,Female,Married,44,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,66.0
Make2,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,2,more than 30,more than 30,more than 4,less than 4 years,No,No,External,none,4 to 8 years,more than 1,Liability,26.0
Make2,Rural,Male,Married,27,Policy Holder,Utility,"more than 69,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,84.0
Make1,Urban,Male,Single,27,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,1.0
Make1,Urban,Male,Single,39,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,more than 5,no change,1 vehicle,All Perils,0.0
Make3,Urban,Male,Married,74,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,0.0
Make2,Urban,Male,Single,23,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Make2,Urban,Female,Single,25,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Make3,Urban,Male,Single,38,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,3 to 5,0 to 3 years,1 vehicle,Liability,0.0
Make2,Urban,Male,Married,41,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,11.0
Make3,Urban,Male,Married,38,Policy Holder,Sedan,"20,000 to 39,000",700,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,2.0
Make2,Urban,Male,Single,34,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,64.0
Make2,Urban,Male,Married,61,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,2.0
Make1,Urban,Male,Married,38,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,46.0
Make1,Urban,Male,Single,40,Policy Holder,Sedan,"less than 20,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,4.0
Make3,Urban,Male,Married,41,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,65.0
Make3,Urban,Male,Married,36,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,3.0
Make2,Urban,Male,Married,31,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,50.0
Make3,Urban,Female,Married,35,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,0.0
Make2,Urban,Female,Married,37,Policy Holder,Sedan,"more than 69,000",500,2,more than 30,more than 30,2 to 4,4 to 6 years,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,10.0
Make1,Urban,Male,Married,55,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,5.0
Make3,Urban,Male,Single,31,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,2.0
Make2,Urban,Male,Married,28,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,4 to 8 years,more than 1,Liability,1.0
Make1,Urban,Male,Married,28,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,3.0
Make3,Urban,Male,Married,44,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,130.0
Make2,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,All Perils,140.0
Make2,Urban,Male,Married,40,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,1.0
Make1,Urban,Male,Single,23,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,122.0
Make3,Urban,Male,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,3.0
Make2,Urban,Male,Married,35,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,35.0
Make1,Rural,Male,Married,56,Policy Holder,Utility,"more than 69,000",400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,40.0
Make2,Urban,Male,Married,50,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,9.0
Make2,Urban,Male,Single,16,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,3 to 5,no change,1 vehicle,Collision,29.0
Make3,Urban,Male,Married,32,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,Yes,External,more than 5,no change,1 vehicle,Collision,0.0
Make3,Urban,Male,Single,28,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,22.0
Make1,Urban,Male,Single,68,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,2.0
Make2,Rural,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,14.0
Make2,Rural,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,42.0
Make2,Rural,Female,Married,18,Third Party,Sport,"more than 69,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,1 to 2,no change,1 vehicle,Collision,5.0
Make3,Urban,Male,Single,30,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0.0
Make2,Urban,Male,Married,51,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,more than 1,Collision,0.0
Make1,Urban,Male,Single,22,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,0.0
Make3,Urban,Female,Married,26,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,0.0
Make2,Urban,Male,Married,53,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,more than 7,Yes,No,External,none,4 to 8 years,more than 1,Collision,37.0
Make1,Urban,Male,Married,38,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,2.0
Make2,Rural,Male,Married,27,Third Party,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,Yes,External,none,no change,1 vehicle,Liability,0.0
Make2,Urban,Male,Single,29,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,1.0
Make3,Urban,Male,Single,32,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Make2,Urban,Male,Single,18,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,more than 5,no change,1 vehicle,Collision,1.0
Make3,Urban,Male,Married,60,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,Collision,7.0
Make2,Urban,Male,Married,53,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Make2,Urban,Male,Single,29,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,10.0
Make3,Urban,Male,Married,29,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Make1,Urban,Male,Married,41,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,15.0
Make1,Urban,Male,Married,29,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,9.0
Make4,Urban,Male,Married,42,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,8.0
Make1,Urban,Male,Married,34,Policy Holder,Sedan,"less than 20,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,98.0
Make2,Urban,Male,Married,51,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,1.0
Make3,Urban,Male,Married,32,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,8.0
Make2,Urban,Male,Married,52,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,Internal,3 to 5,no change,more than 1,Liability,4.0
Make1,Urban,Male,Married,61,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,Collision,1.0
Make1,Rural,Male,Single,25,Third Party,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,9.0
Make1,Urban,Male,Married,41,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,1.0
Make1,Urban,Male,Single,33,Third Party,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Make1,Rural,Male,Married,39,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,0 to 3 years,more than 1,All Perils,169.0
Make1,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,9.0
Make1,Urban,Male,Widow,50,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,0.0
Make3,Urban,Female,Married,31,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,4.0
