Make,AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,daysDiff
Pontiac,Urban,Male,Single,45,Policy Holder,Sedan,"30,000 to 39,000",400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0.0
Mazda,Urban,Male,Married,49,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,2.0
Honda,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,All Perils,6.0
Accura,Urban,Male,Single,37,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,Collision,0.0
Honda,Rural,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,Liability,23.0
Chevrolet,Urban,Female,Single,27,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,5.0
Toyota,Urban,Male,Single,30,Policy Holder,Sedan,"30,000 to 39,000",400,4,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,All Perils,14.0
Pontiac,Urban,Male,Married,49,Policy Holder,Utility,"40,000 to 59,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,136.0
Honda,Urban,Male,Single,17,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,All Perils,47.0
Toyota,Urban,Male,Married,26,Policy Holder,Sport,"20,000 to 29,000",400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability,1.0
Pontiac,Urban,Male,Single,48,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,Collision,4.0
Mazda,Urban,Male,Single,31,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,All Perils,10.0
Mercury,Urban,Male,Single,40,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Mazda,Urban,Male,Married,65,Policy Holder,Sport,"30,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,Liability,4.0
Toyota,Urban,Male,Married,64,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,Collision,0.0
Honda,Urban,Male,Married,55,Policy Holder,Sport,"20,000 to 29,000",400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,Liability,0.0
Honda,Urban,Male,Single,44,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0.0
Mazda,Urban,Male,Married,27,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,2.0
Chevrolet,Urban,Female,Single,28,Third Party,Sedan,"20,000 to 29,000",400,3,15 to 30,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,Collision,123.0
Honda,Urban,Male,Married,47,Third Party,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,1.0
Mazda,Urban,Male,Married,60,Third Party,Sedan,"more than 69,000",400,3,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Ford,Urban,Male,Married,33,Third Party,Sedan,"30,000 to 39,000",400,4,more than 30,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,Collision,18.0
Chevrolet,Urban,Male,Married,27,Third Party,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,All Perils,69.0
Honda,Urban,Female,Married,47,Third Party,Sport,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,4.0
Jaguar,Rural,Female,Single,29,Policy Holder,Sport,"30,000 to 39,000",400,1,more than 30,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,Liability,4.0
Toyota,Urban,Female,Married,33,Third Party,Sedan,"30,000 to 39,000",400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,6.0
Pontiac,Urban,Male,Married,38,Policy Holder,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Mazda,Urban,Male,Single,37,Third Party,Sport,"20,000 to 29,000",400,2,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,Liability,8.0
Chevrolet,Urban,Male,Married,36,Third Party,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,3 to 4,All Perils,125.0
Toyota,Urban,Female,Married,44,Policy Holder,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,66.0
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,2,more than 30,more than 30,more than 4,new,No,No,External,none,4 to 8 years,2 vehicles,Liability,26.0
Chevrolet,Rural,Male,Married,27,Policy Holder,Utility,"more than 69,000",400,4,more than 30,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,Liability,84.0
Toyota,Urban,Male,Single,27,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,Collision,1.0
Mazda,Urban,Male,Single,39,Third Party,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,2 to 4,4 years,No,No,External,more than 5,no change,1 vehicle,All Perils,0.0
Pontiac,Urban,Male,Married,74,Third Party,Sedan,"30,000 to 39,000",400,4,more than 30,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,0.0
Honda,Urban,Male,Single,23,Policy Holder,Sport,"20,000 to 29,000",400,2,more than 30,more than 30,2 to 4,4 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Honda,Urban,Female,Single,25,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Pontiac,Urban,Male,Single,38,Policy Holder,Sport,"20,000 to 29,000",400,2,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,1 year,1 vehicle,Liability,0.0
Honda,Urban,Male,Married,41,Policy Holder,Sedan,"30,000 to 39,000",400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,All Perils,11.0
Pontiac,Urban,Male,Married,38,Policy Holder,Sedan,"20,000 to 29,000",700,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,2.0
Honda,Urban,Male,Single,34,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,Collision,64.0
Honda,Urban,Male,Married,61,Third Party,Sedan,"30,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,2.0
Toyota,Urban,Male,Married,38,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,Collision,46.0
Toyota,Urban,Male,Single,40,Policy Holder,Sedan,"less than 20,000",400,4,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,All Perils,4.0
Pontiac,Urban,Male,Married,41,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,All Perils,65.0
Pontiac,Urban,Male,Married,36,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,All Perils,3.0
Chevrolet,Urban,Male,Married,31,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,All Perils,50.0
Pontiac,Urban,Female,Married,35,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,All Perils,0.0
Ford,Urban,Female,Married,37,Policy Holder,Sedan,"more than 69,000",500,2,more than 30,more than 30,2 to 4,6 years,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,10.0
Mazda,Urban,Male,Married,55,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,5.0
Pontiac,Urban,Male,Single,31,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,2.0
Dodge,Urban,Male,Married,28,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,7 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,Liability,1.0
Mazda,Urban,Male,Married,28,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,Collision,3.0
Pontiac,Urban,Male,Married,44,Third Party,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,All Perils,130.0
Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,All Perils,140.0
Honda,Urban,Male,Married,40,Policy Holder,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,Liability,1.0
Toyota,Urban,Male,Single,23,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,Collision,122.0
Pontiac,Urban,Male,Single,31,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,All Perils,3.0
Honda,Urban,Male,Married,35,Third Party,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,All Perils,35.0
Accura,Rural,Male,Married,56,Policy Holder,Utility,"more than 69,000",400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,40.0
Chevrolet,Urban,Male,Married,50,Third Party,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,9.0
Honda,Urban,Male,Single,16,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,2 to 4,4 years,No,No,External,3 to 5,no change,1 vehicle,Collision,29.0
Pontiac,Urban,Male,Married,32,Third Party,Sedan,"30,000 to 39,000",400,2,more than 30,more than 30,1,7 years,No,Yes,External,more than 5,no change,1 vehicle,Collision,0.0
Pontiac,Urban,Male,Single,28,Policy Holder,Sport,"20,000 to 29,000",400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,22.0
Mazda,Urban,Male,Single,68,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,All Perils,2.0
Honda,Rural,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,All Perils,14.0
Honda,Rural,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,All Perils,42.0
Honda,Rural,Female,Married,18,Third Party,Sport,"more than 69,000",400,4,more than 30,more than 30,none,2 years,No,No,External,1 to 2,no change,1 vehicle,Collision,5.0
Pontiac,Urban,Male,Single,30,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0.0
Honda,Urban,Male,Married,51,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,3 to 4,Collision,0.0
Toyota,Urban,Male,Single,22,Third Party,Sedan,"30,000 to 39,000",400,3,more than 30,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,0.0
Pontiac,Urban,Female,Married,26,Policy Holder,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,Liability,0.0
Dodge,Urban,Male,Married,53,Policy Holder,Sedan,"30,000 to 39,000",400,2,more than 30,more than 30,none,more than 7,Yes,No,External,none,4 to 8 years,2 vehicles,Collision,37.0
Mazda,Urban,Male,Married,38,Policy Holder,Sport,"30,000 to 39,000",400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,Liability,2.0
Chevrolet,Rural,Male,Married,27,Third Party,Sport,"30,000 to 39,000",400,3,more than 30,more than 30,more than 4,6 years,No,Yes,External,none,no change,1 vehicle,Liability,0.0
Honda,Urban,Male,Single,29,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,Collision,1.0
Pontiac,Urban,Male,Single,32,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Honda,Urban,Male,Single,18,Third Party,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,none,3 years,No,No,External,more than 5,no change,1 vehicle,Collision,1.0
Pontiac,Urban,Male,Married,60,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,Collision,7.0
Ford,Urban,Male,Married,53,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Honda,Urban,Male,Single,29,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,10.0
Pontiac,Urban,Male,Married,29,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,0.0
Toyota,Urban,Male,Married,41,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,15.0
Toyota,Urban,Male,Married,29,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,All Perils,9.0
Mercury,Urban,Male,Married,42,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,All Perils,8.0
Toyota,Urban,Male,Married,34,Policy Holder,Sedan,"less than 20,000",400,2,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,98.0
Honda,Urban,Male,Married,51,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,1.0
Pontiac,Urban,Male,Married,32,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,8.0
Chevrolet,Urban,Male,Married,52,Policy Holder,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,none,more than 7,No,No,Internal,3 to 5,no change,5 to 8,Liability,4.0
Toyota,Urban,Male,Married,61,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,Collision,1.0
Toyota,Rural,Male,Single,25,Third Party,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,Liability,9.0
Mazda,Urban,Male,Married,41,Policy Holder,Sedan,"30,000 to 39,000",400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,All Perils,1.0
Mazda,Urban,Male,Single,33,Third Party,Sport,"30,000 to 39,000",400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Toyota,Rural,Male,Married,39,Policy Holder,Sedan,"30,000 to 39,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,under 6 months,2 vehicles,All Perils,169.0
Accura,Urban,Male,Single,30,Policy Holder,Sedan,"30,000 to 39,000",400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,Collision,9.0
Mazda,Urban,Male,Widow,50,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,0.0
Pontiac,Urban,Female,Married,31,Third Party,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,4.0
Pontiac,Urban,Male,Single,23,Policy Holder,Sport,"30,000 to 39,000",400,4,more than 30,more than 30,more than 4,5 years,No,No,External,3 to 5,no change,1 vehicle,Liability,0.0
Pontiac,Urban,Male,Single,31,Third Party,Sport,"30,000 to 39,000",400,3,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,Liability,3.0
Honda,Urban,Male,Married,50,Third Party,Sedan,"20,000 to 29,000",500,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,2 to 3 years,1 vehicle,All Perils,6.0
